id,idd,age,email,generi_preferiti
0,0,28,laurenthaba05@gmail.com,"['Young Adult', 'Novels']"
1,1,40,laurenthaba06@gmail.com,"['Paranormal', 'Adult']"
2,2,25,laurenthaba07@gmail.com,"['Vampires', 'Adult Fiction']"
3,3,30,laurenthaba08@gmail.com,"['Vampires', 'Crime']"
4,4,80,laurenthaba09@gmail.com,"['British Literature', 'Teen']"
5,5,57,laurenthaba10@gmail.com,"['Realistic Fiction', 'New Adult']"
6,6,46,laurenthaba11@gmail.com,"['Nonfiction', 'Adventure']"
7,7,65,laurenthaba12@gmail.com,"['Urban Fantasy', 'Literary Fiction']"
8,8,47,laurenthaba13@gmail.com,"['Young Adult', 'Thriller']"
9,9,82,laurenthaba14@gmail.com,"['American', 'Horror']"
10,10,17,laurenthaba15@gmail.com,"['Novels', 'British Literature']"
11,11,14,laurenthaba16@gmail.com,"['Supernatural', 'Mystery']"
13,13,90,laurenthaba18@gmail.com,"['Adult', 'Young Adult']"
14,14,53,laurenthaba19@gmail.com,"['Science Fiction', 'Realistic Fiction']"
15,15,37,laurenthaba20@gmail.com,"['Teen', 'Contemporary']"
16,16,67,laurenthaba21@gmail.com,"['Audiobook', 'Drama']"
17,17,76,laurenthaba22@gmail.com,"['Literature', 'Adventure']"
18,18,49,laurenthaba23@gmail.com,"['Suspense', 'Novels']"
19,19,19,laurenthaba24@gmail.com,"['Childrens', 'Paranormal']"
20,20,74,laurenthaba25@gmail.com,"['Horror', 'Religion']"
21,21,46,laurenthaba26@gmail.com,"['Paranormal', 'Christian']"
22,22,86,laurenthaba27@gmail.com,"['Literature', 'Fiction']"
23,23,73,laurenthaba28@gmail.com,"['Mystery', 'Middle Grade']"
24,24,22,laurenthaba29@gmail.com,"['Audiobook', 'Suspense']"
25,25,48,laurenthaba30@gmail.com,"['Mystery Thriller', 'Vampires']"
26,26,51,laurenthaba31@gmail.com,"['War', 'Biography']"
27,27,62,laurenthaba32@gmail.com,"['Fantasy', 'Paranormal Romance']"
28,28,84,laurenthaba33@gmail.com,"['Mystery', 'Humor']"
29,29,16,laurenthaba34@gmail.com,"['Contemporary', 'Drama']"
30,30,45,laurenthaba35@gmail.com,"['Paranormal', 'Young Adult']"
31,31,20,laurenthaba36@gmail.com,"['Middle Grade', 'Suspense']"
32,32,73,laurenthaba37@gmail.com,"['Middle Grade', 'War']"
33,33,87,laurenthaba38@gmail.com,"['Urban Fantasy', 'Audiobook']"
34,34,38,laurenthaba39@gmail.com,"['Science Fiction Fantasy', 'Childrens']"
35,35,71,laurenthaba40@gmail.com,"['Classics', 'Chick Lit']"
36,36,49,laurenthaba41@gmail.com,"['Literary Fiction', 'Short Stories']"
37,37,28,laurenthaba42@gmail.com,"['British Literature', 'Mystery']"
38,38,41,laurenthaba43@gmail.com,"['Literary Fiction', 'Historical']"
39,39,75,laurenthaba44@gmail.com,"['Horror', 'Paranormal']"
40,40,40,laurenthaba45@gmail.com,"['Chick Lit', 'Humor']"
41,41,51,laurenthaba46@gmail.com,"['Suspense', 'New Adult']"
42,42,85,laurenthaba47@gmail.com,"['Science Fiction Fantasy', 'Fantasy']"
43,43,49,laurenthaba48@gmail.com,"['Christian', 'Vampires']"
44,44,38,laurenthaba49@gmail.com,"['American', 'Fiction']"
45,45,61,laurenthaba50@gmail.com,"['Chick Lit', 'Mystery']"
46,46,56,laurenthaba51@gmail.com,"['Science Fiction', 'Romance']"
47,47,19,laurenthaba52@gmail.com,"['Biography', 'Romance']"
48,48,70,laurenthaba53@gmail.com,"['Religion', 'Science Fiction Fantasy']"
49,49,27,laurenthaba54@gmail.com,"['Religion', 'Historical Fiction']"
50,50,34,laurenthaba55@gmail.com,"['Nonfiction', 'British Literature']"
51,51,48,laurenthaba56@gmail.com,"['Contemporary Romance', 'Classics']"
52,52,83,laurenthaba57@gmail.com,"['Erotica', 'Paranormal']"
53,53,80,laurenthaba58@gmail.com,"['Adventure', 'Young Adult']"
54,54,66,laurenthaba59@gmail.com,"['Vampires', 'Science Fiction Fantasy']"
